timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
4116,0.0000,-0.0006,1.0108,-0.0600,-0.0256,0.1645,idle
4167,0.0000,-0.0003,1.0047,-0.1571,0.0141,0.0262,idle
4218,0.0000,-0.0013,0.9987,-0.1615,0.0459,-0.0310,idle
4269,0.0000,-0.0005,0.9993,-0.0963,0.0606,-0.0631,idle
4320,0.0000,-0.0024,1.0026,-0.0900,0.0739,-0.0460,idle
4371,0.0000,-0.0015,1.0070,-0.1093,0.0143,-0.0216,idle
4422,0.0000,-0.0001,1.0026,-0.0378,0.0384,0.0422,idle
4473,0.0000,0.0004,1.0063,0.0347,0.0592,0.0749,idle
4524,0.0000,0.0005,1.0019,-0.0248,0.0499,0.0919,idle
4575,0.0000,0.0011,0.9967,-0.0358,-0.0309,0.1834,idle
4626,0.0000,0.0001,0.9904,-0.0248,-0.0146,0.0733,idle
4677,0.0000,0.0004,0.9950,-0.0205,-0.0229,0.0586,idle
4728,0.0000,0.0005,0.9919,-0.0507,0.0377,-0.0143,idle
4779,0.0000,0.0007,0.9963,-0.0398,0.0342,-0.0252,idle
4830,0.0000,0.0003,0.9913,-0.0249,0.0253,-0.0355,idle
4881,0.0000,-0.0005,0.9877,0.0053,0.0044,0.0356,idle
4932,0.0000,0.0005,0.9860,0.0249,-0.0123,0.1139,idle
4983,0.0000,0.0011,0.9781,0.0834,-0.0073,0.1033,idle
5034,0.0000,0.0007,0.9809,0.1057,0.0211,0.1406,idle
5085,0.0000,0.0002,0.9847,0.0961,-0.0203,0.1734,idle
5136,0.0000,0.0006,0.9892,0.0700,-0.0137,0.1494,idle
5187,0.0000,0.0006,0.9941,0.0660,0.0373,0.1270,idle
5238,0.0000,-0.0007,0.9922,0.0338,0.0141,0.0298,idle
5289,0.0000,-0.0012,0.9930,0.0416,0.0596,0.0253,idle
5340,0.0000,-0.0018,0.9959,0.0326,0.0715,-0.0226,idle
5391,0.0000,-0.0018,0.9940,0.0421,0.0201,-0.0410,idle
5442,0.0000,-0.0012,0.9918,-0.0250,-0.0242,-0.0131,idle
